Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10n,C57112
"C2, C7",0603,2,100n,C14663
C3,0603,1,3.3u/16V,C3859617
C4,0603,1,0.1u,C14663
C5,0603,1,1u,C15849
C6,0603,1, 100n (X7R),C14663
C8,0603,1, 10u (X7R),C2844384
C9,0603,1, 10n (X7R),C57112
R1,0603,1,2M,C114615
U1,SOT-23-5,1,TCR2EF19,C146366
